time,mag,place,lon,lat,depth,time_days
2004-02-15 22:06:56.100000+00:00,3.0,EGYPT,34.48,25.27,4.0,2181.541327546296
2004-02-14 01:17:37.300000+00:00,3.0,EGYPT,34.39,23.42,15.0,2179.673748842593
2004-02-13 07:02:34.600000+00:00,3.6,DEAD SEA REGION,35.6769,31.6879,12.0,2178.913300925926
2004-02-11 08:15:04+00:00,5.2,DEAD SEA REGION,35.5437,31.6875,28.6,2176.9636412037034
2004-02-07 18:20:48.800000+00:00,3.1,EGYPT,34.53,25.28,5.4,2173.3842986111113
2004-02-04 23:49:40.400000+00:00,3.0,EGYPT,34.29,25.33,4.0,2170.612673611111
2004-02-03 09:04:16.600000+00:00,3.6,EGYPT,34.46,25.27,7.3,2168.997814814815
2004-02-03 08:28:46+00:00,3.8,EGYPT,34.48,25.28,9.7,2168.9731550925926
2004-01-31 21:26:40.200000+00:00,3.2,EGYPT,34.68,25.27,12.0,2166.513365740741
2004-01-31 18:14:21.400000+00:00,3.1,RED SEA,35.1357,26.7535,40.0,2166.379814814815
2004-01-29 15:03:46.800000+00:00,3.0,EGYPT,29.31,25.65,19.4,2164.2474699074073
2004-01-28 21:46:20.600000+00:00,3.0,RED SEA,35.17,26.3,8.1,2163.5270277777777
2004-03-15 23:49:56.200000+00:00,4.0,DEAD SEA REGION,35.591,31.3495,19.8,2210.6128564814817
2004-03-11 08:44:19.400000+00:00,3.3,EGYPT,31.24,29.87,20.1,2205.9839583333332
2004-03-06 03:15:47.300000+00:00,3.7,EGYPT,35.21,23.77,4.0,2200.755809027778
2004-03-04 11:16:20.500000+00:00,3.0,EGYPT,34.152,28.2339,20.0,2199.08952662037
2004-02-24 10:34:01.300000+00:00,3.0,EGYPT,34.46,23.42,15.0,2190.0601377314815
2004-02-24 02:11:32+00:00,3.1,DEAD SEA REGION,35.4856,31.7064,20.0,2189.7111875
2004-02-23 17:42:04.700000+00:00,3.6,RED SEA,34.3312,27.7046,2.0,2189.3573993055556
2004-02-22 21:18:51.900000+00:00,3.3,RED SEA,34.7065,26.689,40.0,2188.507945601852
2004-02-22 10:39:54.100000+00:00,3.4,EGYPT,34.48,25.26,7.3,2188.064221064815
2004-02-22 04:50:36.600000+00:00,3.0,EGYPT,31.15,28.32,15.0,2187.821657407407
2004-04-19 14:02:45.600000+00:00,3.0,EGYPT,30.33,23.68,10.0,2245.2050949074073
2004-04-19 03:02:18.100000+00:00,3.0,EGYPT,35.25,23.79,4.4,2244.746443287037
2004-04-13 16:33:43.700000+00:00,3.3,EGYPT,35.21,23.77,4.0,2239.309934027778
2004-04-10 07:59:37.100000+00:00,3.1,EGYPT,35.51,23.86,4.0,2235.952913194444
2004-04-09 11:05:31.800000+00:00,3.0,EGYPT,35.28,23.8,6.0,2235.0820185185185
2004-04-03 09:45:44.100000+00:00,3.1,EGYPT,32.3187,29.8192,10.0,2229.026605324074
